"effect","group","term","estimate","std.error","statistic","df","p.value"
"fixed",NA,"(Intercept)",48.0719758801296,2.840111891424,16.9260852099833,100.827818488702,3.13808035369298e-31
"fixed",NA,"Park_Size_",0.00998007349601763,0.00386697371288831,2.58084854902294,5508.69181227311,0.0098814097141275
"fixed",NA,"MONTHAug",-30.2705401143849,0.182508724366945,-165.858044427093,381979.953822556,0
"fixed",NA,"MONTHDec",-0.362231049627514,0.133482046461521,-2.71370614423366,381973.286044798,0.00665381406097627
"fixed",NA,"MONTHFeb",-8.89801973040467,0.139218520876802,-63.9140516244873,381978.964872444,0
"fixed",NA,"MONTHJan",0.929225416976351,0.12376476573371,7.50799641131833,381972.87772673,6.01685374896118e-14
"fixed",NA,"MONTHJul",-42.320510600482,0.208314382826997,-203.15693053047,381967.301680396,0
"fixed",NA,"MONTHJun",-35.1789036391367,0.201700735868722,-174.411379748427,381970.954207024,0
"fixed",NA,"MONTHMar",0.550325260189815,0.133420511437244,4.12474254716575,381986.961957349,3.71228104205337e-05
"fixed",NA,"MONTHMay",-19.6770625075695,0.153641717953417,-128.071091430619,381967.864489584,0
"fixed",NA,"MONTHNov",-1.08771269217241,0.134821983814445,-8.06776952391847,381969.033598779,7.17988791473326e-16
"fixed",NA,"MONTHOct",28.4520278377003,0.119022160418077,239.048154879392,381970.900930858,0
"fixed",NA,"MONTHSep",8.93340336826843,0.133875647131135,66.7291143662438,381970.022844459,0
"fixed",NA,"Park_Size_:MONTHAug",0.00570593952726239,0.000603589363483669,9.45334671626759,381966.880989489,3.29924729567855e-21
"fixed",NA,"Park_Size_:MONTHDec",0.0117903515551677,0.000404774985127789,29.1281625307094,381966.56812423,2.53146898522121e-186
"fixed",NA,"Park_Size_:MONTHFeb",0.0176546534944813,0.000406391135188337,43.4425162505069,381966.134731622,0
"fixed",NA,"Park_Size_:MONTHJan",0.0113575297992231,0.000374795952447644,30.3032349337061,381966.634384739,1.80521193205278e-201
"fixed",NA,"Park_Size_:MONTHJul",0.00951928970052142,0.000592612764419485,16.0632545771207,381965.483828103,4.823939281506e-58
"fixed",NA,"Park_Size_:MONTHJun",-0.00659866020722785,0.000606788244763452,-10.8747330953984,381965.991740583,1.53522318970843e-27
"fixed",NA,"Park_Size_:MONTHMar",-0.00465433719337099,0.000417249873944789,-11.1547959244845,381966.656393796,6.85503253229008e-29
"fixed",NA,"Park_Size_:MONTHMay",0.0102100460087889,0.000469221946049316,21.7595236001938,381968.684568794,6.50311805271369e-105
"fixed",NA,"Park_Size_:MONTHNov",0.00198771594546866,0.000427845219794975,4.64587625034395,381965.505648678,3.38748643175179e-06
"fixed",NA,"Park_Size_:MONTHOct",-0.0250042829925518,0.000453755497919136,-55.1051901458346,381967.861696002,0
"fixed",NA,"Park_Size_:MONTHSep",-0.0161655190862402,0.000508652525540018,-31.7810652155473,381967.458886411,2.30586783067182e-221
"ran_pars","Park_Addre","sd__(Intercept)",27.3087814873595,NA,NA,NA,NA
"ran_pars","Residual","sd__Observation",14.4128094565391,NA,NA,NA,NA
