"effect","group","term","estimate","std.error","statistic","df","p.value"
"fixed",NA,"(Intercept)",47.8639886359537,2.84677214292227,16.8134245499608,100.658198458347,5.44098032534642e-31
"fixed",NA,"Park_Size_",0.010535685503933,0.00392114817287108,2.68688788065327,5133.35577257552,0.00723535438478593
"fixed",NA,"MONTHAug",-29.1222696670974,0.141904092486667,-205.225016113144,381990.775009413,0
"fixed",NA,"MONTHDec",2.22670226787549,0.106383349951207,20.9309282786899,381982.931187265,3.176181777431e-97
"fixed",NA,"MONTHFeb",-4.81602539030884,0.11142888412308,-43.2206193951406,381992.070987968,0
"fixed",NA,"MONTHJan",3.33485507725373,0.100120703390765,33.3083464689416,381982.280354773,6.54159116646885e-243
"fixed",NA,"MONTHJul",-40.0370971362199,0.161235228309617,-248.314822734256,381977.040646451,0
"fixed",NA,"MONTHJun",-36.4018579517277,0.16168925382894,-225.134677102532,381980.08268114,0
"fixed",NA,"MONTHMar",-0.341057194093972,0.108833072734064,-3.13376426417137,382003.64412774,0.0017259249177218
"fixed",NA,"MONTHMay",-17.63712834358,0.124029417378142,-142.201170628802,381976.697294741,0
"fixed",NA,"MONTHNov",-0.701336724306711,0.109435846507511,-6.40865627387068,381983.135422296,1.46977724151005e-10
"fixed",NA,"MONTHOct",25.2169962618199,0.0974621561059199,258.736285645216,381984.378225056,0
"fixed",NA,"MONTHSep",6.55610081648907,0.107879575495956,60.7724009512334,381978.376101075,0
"ran_pars","Park_Addre","sd__(Intercept)",27.3625249723309,NA,NA,NA,NA
"ran_pars","Residual","sd__Observation",14.6859552927692,NA,NA,NA,NA
