"effect","group","term","estimate","std.error","statistic","df","p.value"
"fixed",NA,"(Intercept)",43.9377121565558,2.47452871330027,17.7559920482621,100.027354029872,1.09280486796065e-32
"fixed",NA,"Park_Size_",0.00940917413836248,0.00322896266608176,2.91399285510483,6583.18004513813,0.00358039671586576
"fixed",NA,"MONTHAug",-26.8084226910996,0.153338049576004,-174.8321617839,354879.697166625,0
"fixed",NA,"MONTHDec",-1.05970753193009,0.112641063739082,-9.40782603389439,354874.141184974,5.09369827674101e-21
"fixed",NA,"MONTHFeb",-7.392942821243,0.117058687884442,-63.1558661288014,354878.455577345,0
"fixed",NA,"MONTHJan",0.377853560331587,0.104028322316672,3.63221814902836,354873.64140778,0.000281034975112931
"fixed",NA,"MONTHJul",-37.4778250651376,0.177338033035883,-211.335517957133,354868.36098669,0
"fixed",NA,"MONTHJun",-32.4384044127881,0.171423748263056,-189.22934973403,354871.934739128,0
"fixed",NA,"MONTHMar",-0.961606316745278,0.112601530682188,-8.53990448370869,354888.955120354,1.3485079006235e-17
"fixed",NA,"MONTHMay",-17.1787787368056,0.128731353176058,-133.446734715134,354869.265907279,0
"fixed",NA,"MONTHNov",-0.572386738294946,0.113465374282938,-5.04459392931309,354869.990333632,4.54708972660066e-07
"fixed",NA,"MONTHOct",22.3884300550534,0.0996297154463267,224.716390634626,354871.231855723,0
"fixed",NA,"MONTHSep",8.07000179425388,0.112126454651975,71.9723264175441,354872.200932107,0
"fixed",NA,"lists",-0.000539197480198475,0.000201365618511569,-2.67770379166042,335428.032822862,0.00741323503502661
"fixed",NA,"Park_Size_:MONTHAug",0.00172626229666145,0.000509400775374833,3.38880971547641,354867.95130139,0.000702043344151217
"fixed",NA,"Park_Size_:MONTHDec",0.00990233108802704,0.000342962340162723,28.8729400532103,354867.831598744,4.26246997943205e-183
"fixed",NA,"Park_Size_:MONTHFeb",0.0159899870569995,0.000343230127392449,46.5867818145131,354867.909379953,0
"fixed",NA,"Park_Size_:MONTHJan",0.00930357575383603,0.000316169932433275,29.4258713415118,354867.946048224,4.34901351264352e-190
"fixed",NA,"Park_Size_:MONTHJul",0.00571379253548161,0.000505647291585245,11.2999567694082,354866.849541335,1.3282269629502e-29
"fixed",NA,"Park_Size_:MONTHJun",-0.00554821310687225,0.000514179820415879,-10.7904139497049,354867.331950309,3.85793324437613e-27
"fixed",NA,"Park_Size_:MONTHMar",-0.00166038641746226,0.000352856080830045,-4.70556271428407,354868.05195729,2.53261886267337e-06
"fixed",NA,"Park_Size_:MONTHMay",0.00541612918732967,0.000395924843217887,13.6796901737965,354869.99592223,1.37652072314973e-42
"fixed",NA,"Park_Size_:MONTHNov",0.00114147356848494,0.000361752568854368,3.15539865300712,354867.104244754,0.00160292321367221
"fixed",NA,"Park_Size_:MONTHOct",-0.0173025831100303,0.000382028782711785,-45.291307600464,354869.169543575,0
"fixed",NA,"Park_Size_:MONTHSep",-0.0144269127230257,0.000427802771287336,-33.7232801919737,354868.803022425,6.55237722855031e-249
"ran_pars","Park_Addre","sd__(Intercept)",23.8295528025143,NA,NA,NA,NA
"ran_pars","Residual","sd__Observation",11.6676638966781,NA,NA,NA,NA
